system:index,ST_B10_max,date,.geo
2021_05_28,99.0,28-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_29,106.0,29-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_30,,30-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_31,104.0,31-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_01,111.0,01-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_02,102.0,02-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_03,,03-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_04,,04-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_05,,05-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_06,,06-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_07,105.0,07-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_08,112.0,08-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_09,103.0,09-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_10,,10-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_11,,11-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_12,108.0,12-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_13,,13-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_14,,14-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_15,,15-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_16,,16-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_17,,17-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_18,,18-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_19,,19-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_20,,20-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_21,107.0,21-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_22,,22-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_23,105.0,23-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_24,,24-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_25,103.0,25-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_26,,26-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_27,,27-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_28,,28-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_29,,29-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
